Country,Year,Poverty,Unemployment,Inflation,GDP_Growth,Gini,Housing_Burden,Unexpected_Expenses,EuroAdopted
Bulgaria,2014,21.8,12.4,-1.6,0.9,35.4,12.9,49.6,0
Bulgaria,2015,22,10.1,-1.1,3.4,37,14.8,53.4,0
Bulgaria,2016,22.9,8.6,-1.3,3,37.7,20.7,54.2,0
Bulgaria,2017,23.4,7.2,1.2,2.7,40.2,18.9,53.2,0
Bulgaria,2018,22,6.2,2.6,2.3,39.6,17.9,32.1,0
Bulgaria,2019,22.6,5.2,2.5,3.8,40.8,16,36.5,0
Bulgaria,2020,23.8,6.1,1.2,-3.1,40,14.4,43.5,0
Bulgaria,2021,22.1,5.2,2.8,7.8,39.7,11.6,36.4,0
Bulgaria,2022,22.9,4.2,13,4.1,38.4,15.1,42.4,0
Bulgaria,2023,20.6,4.3,8.6,1.7,37.2,11.1,46.7,0
Bulgaria,2024,21.7,4.2,2.6,3.4,38.4,8,45.6,0
Bulgaria,2025,21.2,3.5,3.5,3.1,37.7,6.9,42.4,0
Croatia,2014,19.4,17.3,0.2,-0.6,30.2,7.5,63.7,0
Croatia,2015,20,16.2,-0.3,2.3,30.4,7.2,59.8,0
Croatia,2016,19.5,13,-0.6,3.5,29.8,6.4,57.7,0
Croatia,2017,20,11.1,1.3,3.3,29.9,5.8,56.2,0
Croatia,2018,19.3,8.3,1.6,2.9,29.7,5.1,52.9,0
Croatia,2019,18.3,6.6,0.8,3.1,29.2,4.7,51.7,0
Croatia,2020,18.3,7.4,0,-8.3,28.3,4.2,48.9,0
Croatia,2021,19.2,7.5,2.7,12.6,29.2,4.5,46.5,0
Croatia,2022,18,6.8,10.7,7.3,28.5,3.8,44.8,0
Croatia,2023,19.3,6.1,8.4,3.8,29.7,4,41.4,1
Croatia,2024,20.3,5,4,3.8,29.8,3.7,34.9,1
Croatia,2025,19.5,4.9,4.4,3.4,28.5,3.2,31.2,1
Lithuania,2014,19.1,10.7,0.2,3.8,35,7.1,54.7,0
Lithuania,2015,22.2,9.1,-0.7,2.8,37.9,9.1,53.2,1
Lithuania,2016,21.9,7.9,0.7,2.7,37,7.8,53.2,1
Lithuania,2017,22.9,7.1,3.7,4.6,37.6,7.2,50.6,1
Lithuania,2018,22.9,6.2,2.5,4.9,36.9,5.6,48.8,1
Lithuania,2019,20.6,6.3,2.2,4.7,35.4,4.8,46.8,1
Lithuania,2020,20.9,8.5,1.1,0,35.1,2.7,41.8,1
Lithuania,2021,20,7.1,4.6,6.4,35.4,2.7,36.4,1
Lithuania,2022,20.9,6,18.9,2.5,36.2,3.5,39.3,1
Lithuania,2023,20.6,6.9,8.7,0.7,35.7,5.2,40.5,1
Lithuania,2024,21.5,7.1,0.9,3,35.3,6.2,41.3,1
Lithuania,2025,22.6,6.9,3.4,2.9,35.5,5.7,41.1,1
Poland,2014,17,9.2,0.1,3.9,30.8,9.6,48.6,0
Poland,2015,17.6,7.7,-0.7,4.4,30.6,8.7,42.3,0
Poland,2016,17.3,6.3,-0.2,3,29.8,7.7,37.9,0
Poland,2017,15,5,1.6,5.2,29.2,6.7,34.8,0
Poland,2018,14.8,3.9,1.2,6.2,27.8,6.2,31.7,0
Poland,2019,15.4,3.3,2.2,4.6,28.5,6,29.3,0
Poland,2020,14.8,3.2,3.6,-2,27.2,4.9,25.7,0
Poland,2021,14.8,3.4,5.2,6.9,26.8,5.7,24.5,0
Poland,2022,13.7,2.9,13.2,5.3,26.3,5.6,27.1,0
Poland,2023,14,2.8,10.8,0.2,27,5.9,25.7,0
Poland,2024,13.8,2.9,3.7,3.2,26,5.2,22.8,0
Poland,2025,13.2,3.1,3.3,3.6,24.9,4.1,22.5,0
